id,Player1,Player2,Result,ACE.1,UFE.1,ACE.2,UFE.2,ACE_difference,UFE_difference
0,M.Koehler,V.Azarenka,0,2,18,3,14,-1,4
1,E.Baltacha,F.Pennetta,0,0,10,4,14,-4,-4
2,S-W.Hsieh,T.Maria,1,1,13,2,29,-1,-16
3,A.Cornet,V.King,1,4,30,0,45,4,-15
4,Y.Putintseva,K.Flipkens,0,2,28,6,19,-4,9
5,A.Tomljanovic,B.Jovanovski,0,6,42,11,40,-5,2
6,Y.Wickmayer,V.Dolonc,0,1,37,2,26,-1,11
7,J.Jankovic,J.Konta,1,2,13,1,25,1,-12
8,V.Razzano,A.Ivanovic,0,1,15,6,7,-5,8
9,E.Bouchard,G.Voskoboeva,1,3,25,3,30,0,-5
10,S.Arvidsson,M.Lucic-Baroni,0,1,10,6,25,-5,-15
11,J.Larsson,E.Makarova,0,2,19,2,8,0,11
12,G.Muguruza,A.Keothavong,1,3,16,2,14,1,2
13,K.Bertens,Y.Shvedova,0,3,34,0,34,3,0
14,P.Kvitova,C.Vandeweghe,1,2,31,5,25,-3,6
15,K.Mladenovic,M.Sharapova,0,6,20,5,18,1,2
16,M.Larcher De Brito,M.Oudin,1,1,42,3,51,-2,-9
17,L.Hradecka,K.Knapp,0,2,16,9,19,-7,-3
18,L.Safarova,L.Davis,1,2,9,1,7,1,2
19,S.Voegele,S.Cirstea,0,1,32,1,29,0,3
20,C.Giorgi,S.Murray,1,1,17,4,27,-3,-10
21,C.McHale,A.Glatch,1,1,14,7,24,-6,-10
22,M.Bartoli,E.Svitolina,1,4,25,1,13,3,12
23,E.Cabeza Candela,C.Wozniacki,0,0,18,3,7,-3,11
24,P.Cetkovska,D.Vekic,1,6,14,4,16,2,-2
25,P.Parmentier,A.Petkovic,0,3,12,1,9,2,3
26,S.Stephens,J.Hampton,1,4,15,1,14,3,1
27,E.Birnerova,V.Lepchenko,1,2,28,7,46,-5,-18
28,L.Arruabarrena,L.Tsurenko,0,2,7,2,22,0,-15
29,S.Soler-Espinosa,M.Doi,1,1,28,1,27,0,1
30,S.Errani,M.Puig,0,0,15,4,17,-4,-2
31,M.Krajicek,N.Li,0,1,8,2,12,-1,-4
32,O.Govortsova,S.Halep,0,0,26,4,20,-4,6
33,N.Bratchikova,A.Beck,0,2,30,2,11,0,19
34,K.Zakopalova,D.Hantuchova,1,2,16,0,18,2,-2
35,M.Camerin,D.Cibulkova,0,2,31,0,48,2,-17
36,Kr.Pliskova,J.Cepelova,0,6,29,2,15,4,14
37,R.Vinci,C.Scheepers,1,4,6,0,20,4,-14
38,Ka.Pliskova,N.Petrova,1,13,6,6,11,7,-5
39,A.Tatishvili,P.Martic,0,0,22,10,19,-10,3
40,B.Zahlavova Strycova,M.Rybarikova,1,6,42,1,55,5,-13
41,A.Pavlyuchenkova,T.Pironkova,0,1,18,5,2,-4,16
42,M.Niculescu,M.Barthel,0,0,22,1,39,-1,-17
43,H.Watson,M.Keys,0,4,15,8,18,-4,-3
44,T.Babos,M.Johansson,0,7,47,1,38,6,9
45,A.Radwanska,Y.Meusburger,1,5,8,0,18,5,-10
46,B.Mattek-Sands,A.Kerber,0,4,26,1,4,3,22
47,K.Kanepi,T.Moore,1,12,46,4,36,8,10
48,M.Burdette,U.Radwanska,0,0,54,2,18,-2,36
49,R.Oprandi,A.Riske,0,2,22,2,35,0,-13
50,A.Medina Garrigues,S.Peng,0,0,16,7,21,-7,-5
51,A.Morita,M.Erakovic,0,1,21,12,34,-11,-13
52,M.Duque-Marino,J.Goerges,1,4,25,3,46,1,-21
53,M.Kirilenko,L.Robson,0,2,4,8,17,-6,-13
54,A.Schmiedlova,S.Stosur,0,2,15,5,10,-3,5
55,E.Vesnina,A.Hlavackova,1,1,16,2,26,-1,-10
56,S.Lisicki,F.Schiavone,1,5,17,1,8,4,9
57,A.Cadantu,T.Paszek,1,2,22,1,40,1,-18
58,K.Date-Krumm,C.Witthoeft,1,1,8,0,10,1,-2
59,C.Garcia,J.Zheng,1,4,20,1,14,3,6
60,S.Williams,M.Minella,1,7,11,1,6,6,5
61,A.Cornet,S-W.Hsieh,1,2,10,0,16,2,-6
62,B.Jovanovski,K.Flipkens,0,3,17,7,9,-4,8
63,J.Jankovic,V.Dolonc,0,1,26,2,18,-1,8
64,E.Bouchard,A.Ivanovic,1,0,11,5,9,-5,2
65,C.Suarez Navarro,M.Lucic-Baroni,1,1,13,7,31,-6,-18
66,G.Muguruza,E.Makarova,0,3,31,7,14,-4,17
67,M.Larcher De Brito,M.Sharapova,1,0,9,6,18,-6,-9
68,L.Safarova,K.Knapp,0,1,30,10,24,-9,6
69,C.Giorgi,S.Cirstea,1,0,36,3,24,-3,12
70,M.Bartoli,C.McHale,1,1,17,4,20,-3,-3
71,P.Cetkovska,C.Wozniacki,1,1,13,0,10,1,3
72,S.Stephens,A.Petkovic,1,8,39,4,30,4,9
73,L.Tsurenko,E.Birnerova,0,2,42,0,30,2,12
74,M.Puig,S.Soler-Espinosa,1,6,20,2,27,4,-7
75,S.Halep,N.Li,0,1,6,0,14,1,-8
76,K.Zakopalova,A.Beck,1,1,33,0,27,1,6
77,M.Torro-Flor,D.Cibulkova,0,1,17,0,7,1,10
